Event	ID	Name			Wwise Object Path	Notes
	34159942	Play_proj3			\Default Work Unit\Play_proj3	
	164924200	Stop_proj3			\Default Work Unit\Stop_proj3	
	206418435	Play_musique			\Default Work Unit\Play_musique	
	880148599	Play_projectile			\Default Work Unit\Play_projectile	
	884225013	Stop_projectile			\Default Work Unit\Stop_projectile	
	3996700802	Play_pickupP4			\Default Work Unit\Play_pickupP4	
	3996700804	Play_pickupP2			\Default Work Unit\Play_pickupP2	
	3996700805	Play_pickupP3			\Default Work Unit\Play_pickupP3	
	3996700807	Play_pickupP1			\Default Work Unit\Play_pickupP1	
	4030404899	Play_Explosion			\Default Work Unit\Play_Explosion	
	4051121395	Play_deadplayer			\Default Work Unit\Play_deadplayer	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	92670017	menu	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\recherche schmup_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\musique\Menu\phase menu\menu		10936864
	158611905	Explosion	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\Explosion_E2CCD3B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Explosions\Explosion		190124
	362625940	gameover	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\gameover2_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\musique\gameover\phase game over\gameover		1411264
	394875972	pickupP4	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\pickupP4_A8A51CE8.wem		\Actor-Mixer Hierarchy\Default Work Unit\PickUp\pickupP4		260616
	470110280	ingame	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\ingame schmup_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\musique\ingame\phase ingame\ingame		12700864
	508859420	pickupP2	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\pickupP2_2338104B.wem		\Actor-Mixer Hierarchy\Default Work Unit\PickUp\pickupP2		258188
	555269768	proj3	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\proj3_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Shoot\proj3		22116
	702174246	projectile	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\projectile_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\Shoot\projectile		22116
	747269259	pickupP1	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\pickupP1_674C2360.wem		\Actor-Mixer Hierarchy\Default Work Unit\PickUp\pickupP1		311480
	897744416	pickupP3	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\pickupP3_53D985FF.wem		\Actor-Mixer Hierarchy\Default Work Unit\PickUp\pickupP3		261072
	988057082	deadplayer	C:\Users\sulia\Source\Repos\SchmupNeon\SHMUP_WwiseProject\.cache\Linux\SFX\deadplayer_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Mort\deadplayer		595416

